"5","Weight goal: You haven't added a goal yet...","Current weight: Please register your current weight...","...","...","..."
"0","Weight goal: 60 kg  ||  Set on:  11/05/2021   16:02","Current weight: 59 kg  ||  Set on:  11/05/2021   16:03","Current weight: 55 kg  ||  Set on:  11/05/2021   16:02","Current weight: 53.1 kg  ||  Set on:  11/05/2021   16:02","Current weight: 52.3 kg  ||  Set on:  11/05/2021   16:02"
"2","Weight goal: 70 kg  ||  Set on:  11/05/2021   16:03","Current weight: 62 kg  ||  Set on:  11/05/2021   16:03","Current weight: 59 kg  ||  Set on:  11/05/2021   16:03","Current weight: 57 kg  ||  Set on:  11/05/2021   16:03","Current weight: 55 kg  ||  Set on:  11/05/2021   16:03"
"5","Weight goal: You haven't added a goal yet...","Current weight: Please register your current weight...","...","...","..."
"0","Weight goal: 60 kg  ||  Set on:  11/05/2021   16:02","Current weight: 59 kg  ||  Set on:  11/05/2021   16:03","Current weight: 55 kg  ||  Set on:  11/05/2021   16:02","Current weight: 53.1 kg  ||  Set on:  11/05/2021   16:02","Current weight: 52.3 kg  ||  Set on:  11/05/2021   16:02"
"2","Weight goal: 70 kg  ||  Set on:  11/05/2021   16:03","Current weight: 62 kg  ||  Set on:  11/05/2021   16:03","Current weight: 59 kg  ||  Set on:  11/05/2021   16:03","Current weight: 57 kg  ||  Set on:  11/05/2021   16:03","Current weight: 55 kg  ||  Set on:  11/05/2021   16:03"
"5","Weight goal: You haven't added a goal yet...","Current weight: Please register your current weight...","...","...","..."
"0","Weight goal: 60 kg  ||  Set on:  11/05/2021   16:02","Current weight: 59 kg  ||  Set on:  11/05/2021   16:03","Current weight: 55 kg  ||  Set on:  11/05/2021   16:02","Current weight: 53.1 kg  ||  Set on:  11/05/2021   16:02","Current weight: 52.3 kg  ||  Set on:  11/05/2021   16:02"
"2","Weight goal: 70 kg  ||  Set on:  11/05/2021   16:03","Current weight: 62 kg  ||  Set on:  11/05/2021   16:03","Current weight: 59 kg  ||  Set on:  11/05/2021   16:03","Current weight: 57 kg  ||  Set on:  11/05/2021   16:03","Current weight: 55 kg  ||  Set on:  11/05/2021   16:03"
"5","Weight goal: You haven't added a goal yet...","Current weight: Please register your current weight...","...","...","..."
"0","Weight goal: 60 kg  ||  Set on:  11/05/2021   16:02","Current weight: 59 kg  ||  Set on:  11/05/2021   16:03","Current weight: 55 kg  ||  Set on:  11/05/2021   16:02","Current weight: 53.1 kg  ||  Set on:  11/05/2021   16:02","Current weight: 52.3 kg  ||  Set on:  11/05/2021   16:02"
"2","Weight goal: 70 kg  ||  Set on:  11/05/2021   16:03","Current weight: 62 kg  ||  Set on:  11/05/2021   16:03","Current weight: 59 kg  ||  Set on:  11/05/2021   16:03","Current weight: 57 kg  ||  Set on:  11/05/2021   16:03","Current weight: 55 kg  ||  Set on:  11/05/2021   16:03"
"5","Weight goal: You haven't added a goal yet...","Current weight: Please register your current weight...","...","...","..."
"0","Weight goal: 60 kg  ||  Set on:  11/05/2021   16:02","Current weight: 59 kg  ||  Set on:  11/05/2021   16:03","Current weight: 55 kg  ||  Set on:  11/05/2021   16:02","Current weight: 53.1 kg  ||  Set on:  11/05/2021   16:02","Current weight: 52.3 kg  ||  Set on:  11/05/2021   16:02"
"2","Weight goal: 70 kg  ||  Set on:  11/05/2021   16:03","Current weight: 62 kg  ||  Set on:  11/05/2021   16:03","Current weight: 59 kg  ||  Set on:  11/05/2021   16:03","Current weight: 57 kg  ||  Set on:  11/05/2021   16:03","Current weight: 55 kg  ||  Set on:  11/05/2021   16:03"
"5","Weight goal: You haven't added a goal yet...","Current weight: Please register your current weight...","...","...","..."
"0","Weight goal: 60 kg  ||  Set on:  11/05/2021   16:02","Current weight: 59 kg  ||  Set on:  11/05/2021   16:03","Current weight: 55 kg  ||  Set on:  11/05/2021   16:02","Current weight: 53.1 kg  ||  Set on:  11/05/2021   16:02","Current weight: 52.3 kg  ||  Set on:  11/05/2021   16:02"
"2","Weight goal: 70 kg  ||  Set on:  11/05/2021   16:03","Current weight: 62 kg  ||  Set on:  11/05/2021   16:03","Current weight: 59 kg  ||  Set on:  11/05/2021   16:03","Current weight: 57 kg  ||  Set on:  11/05/2021   16:03","Current weight: 55 kg  ||  Set on:  11/05/2021   16:03"
"5","Weight goal: You haven't added a goal yet...","Current weight: Please register your current weight...","...","...","..."
"0","Weight goal: 60 kg  ||  Set on:  11/05/2021   16:02","Current weight: 59 kg  ||  Set on:  11/05/2021   16:03","Current weight: 55 kg  ||  Set on:  11/05/2021   16:02","Current weight: 53.1 kg  ||  Set on:  11/05/2021   16:02","Current weight: 52.3 kg  ||  Set on:  11/05/2021   16:02"
"2","Weight goal: 70 kg  ||  Set on:  11/05/2021   16:03","Current weight: 62 kg  ||  Set on:  11/05/2021   16:03","Current weight: 59 kg  ||  Set on:  11/05/2021   16:03","Current weight: 57 kg  ||  Set on:  11/05/2021   16:03","Current weight: 55 kg  ||  Set on:  11/05/2021   16:03"
"5","Weight goal: You haven't added a goal yet...","Current weight: Please register your current weight...","...","...","..."
